pair,speed_deg_s,rms_mean,rms_sd,mae_mean,mae_sd,bias_mean
Camera-Encoder,30,0.87,0.05,0.68,0.04,-0.06
Camera-Encoder,60,1.48,0.14,1.08,0.11,-0.11
Camera-Encoder,90,1.69,0.38,1.22,0.25,-0.17
Camera-Encoder,120,3.05,0.53,2.2,0.38,-0.2
Camera-Encoder,150,3.34,0.69,2.38,0.31,-0.27
Camera-Encoder,180,3.93,1.02,2.87,0.77,-0.43
Camera-Encoder,210,4.98,1.15,3.39,0.93,-0.45
Camera-Encoder,240,4.83,0.68,3.27,0.37,-0.43
Camera-Encoder,270,6.66,1.32,4.6,0.92,-0.54
Camera-Encoder,300,6.64,1.89,4.57,0.84,-0.53
Encoder-IMU,30,1.49,0.06,1.2,0.04,-0.56
Encoder-IMU,60,1.26,0.39,0.96,0.42,-0.43
Encoder-IMU,90,1.39,0.02,1.13,0.05,-0.23
Encoder-IMU,120,1.6,0.1,1.34,0.08,-0.24
Encoder-IMU,150,1.83,0.28,1.48,0.19,-0.54
Encoder-IMU,180,1.79,0.17,1.49,0.2,-0.1
Encoder-IMU,210,1.69,0.11,1.43,0.12,-0.32
Encoder-IMU,240,1.71,0.06,1.43,0.06,-0.17
Encoder-IMU,270,2,0.4,1.71,0.36,-0.28
Encoder-IMU,300,1.46,0.17,1.2,0.16,0.03
Camera-IMU,30,1.3,0.21,1.03,0.14,-0.31
Camera-IMU,60,1.79,0.11,1.44,0.1,-0.37
Camera-IMU,90,2.21,0.41,1.73,0.4,0.09
Camera-IMU,120,3.11,0.55,2.43,0.44,-0.87
Camera-IMU,150,2.97,0.69,2.33,0.51,-0.53
Camera-IMU,180,4.64,1.23,3.37,0.74,-0.03
Camera-IMU,210,6.17,1.39,4.19,0.94,0.01
Camera-IMU,240,5.95,0.79,3.75,0.19,0.88
Camera-IMU,270,6.33,1.68,4.58,1.41,1.89
Camera-IMU,300,5.41,1.3,3.76,0.3,1
