run,sp,n,ei_rms,ei_mae,ei_bias,ci_rms,ci_mae,ci_bias
first_test_120deg-s,120,19,1.560927518040007,1.3096444165162833,0.3911342180711129,2.358868011481541,1.8386488191174357,0.9936803397217743
first_test_150deg-s,150,20,1.8782104231597607,1.6098867624601596,0.6084041416745422,2.411047429354101,1.9411490058066747,-0.2600144842998887
first_test_180deg-s,180,24,1.5919249927627044,1.2866488734484147,0.20616758586655357,2.7256735636383778,2.1024432006780898,0.4637739048904533
first_test_210deg-s,210,21,1.4480576257238038,1.2571785078504967,-0.05261186454945454,4.291433400551858,3.139898969012727,-0.5349860213035649
first_test_240deg-s,240,22,1.5649838100777422,1.3086944106424403,0.19490806185351192,7.375838582400224,4.86681393143857,-2.1006195808985098
first_test_270deg-s,270,22,2.301788599934186,1.9520579074670779,0.22865755529633186,5.712384007643197,4.1643576196738215,-1.2223681043732908
first_test_300deg-s,300,18,1.4239414359611062,1.1555587895788524,-0.22958208142136982,5.146885832136987,3.91099293225732,0.41307664938228567
first_test_30deg-s,30,25,1.166779413018694,0.9761494128726745,0.6878470657992672,1.3379044111706186,1.0708128546002844,0.492307781103069
first_test_60deg-s,60,23,1.6375386097489042,1.3703844438592723,0.6796770942179401,2.2329832913509327,1.786424544166498,0.5127055676083806
first_test_90deg-s,90,22,1.2100870116974036,1.0173832828973708,0.6709649553690653,2.544760576031973,1.9701413552974183,0.676579131901487
seconed_test_120deg-s,120,21,1.5231093500171347,1.3030825120352312,0.19213869973286873,3.6661240071604735,2.407629833450721,0.1019045519377946
seconed_test_150deg-s,150,18,2.0592425313231733,1.7606581095139262,0.8294616457334583,2.1026487879127322,1.5238561393937067,0.6499375816269688
seconed_test_180deg-s,180,18,1.9006762172607221,1.6475554114215134,-0.1266025572906465,3.4681034403651823,2.9378472999061214,1.1305788179335172
seconed_test_210deg-s,210,18,1.5665808465128455,1.3097816912530946,0.05740195390042244,7.639184667894164,5.1373054550310036,-1.1116118925420753
seconed_test_240deg-s,240,25,1.65750974932625,1.3006073144323829,0.06240764096250473,4.406712391065012,3.1391411610030193,-1.1449899232802137
seconed_test_270deg-s,270,26,1.813132479594182,1.5238059750721482,0.17074203582117775,4.607194638418175,2.8451002868782758,-0.5594035274549228
seconed_test_300deg-s,300,21,1.4853408131340844,1.227850806985768,0.8811522545863871,4.49255106614863,2.63554566365708,-0.11115873879832688
seconed_test_30deg-s,30,26,1.087446174382711,0.8587976512198578,-0.18372449574350208,1.414541818158519,1.1245700107721346,-0.2123783833109988
seconed_test_60deg-s,60,18,1.0788484938426064,0.8059199834167496,0.40564934689667786,1.567464777478502,1.159878265673728,0.23456110157870175
seconed_test_90deg-s,90,22,0.9293028779897797,0.6836387625954198,0.151897119852077,1.247179757107681,1.0677037627923083,-0.03011071987172381
third_test_120deg-s,120,25,1.1897530084844463,0.8950943978568625,0.06585061722250315,2.447302257959019,1.9482393698530394,0.3063111419416941
third_test_150deg-s,150,21,1.4094223277459932,1.2680638509828324,-0.3637227177446938,4.541910607334815,2.853115668934801,-0.7750590453571222
third_test_180deg-s,180,21,1.5568805657338487,1.2937875301758224,0.1703500573379672,3.7054630692161075,2.8361651952275686,-0.06267099541710086
third_test_210deg-s,210,24,2.0069362287355292,1.72171816296222,-0.13700671128160855,3.8397318350808987,2.909184681876161,0.6032678296530195
third_test_240deg-s,240,21,1.8998104419140367,1.539476871262221,0.21272074321678197,4.0458473450554076,2.9444481348724025,-0.30966630022137887
third_test_270deg-s,270,23,1.555819488178585,1.2582332169877832,0.20202754085991986,11.590440290054282,8.29520641589559,0.881727813454876
third_test_300deg-s,300,20,1.1865593643576489,0.9388764753393332,-0.6394885847485909,5.297375777740745,4.263156980034333,-0.7953065470363555
third_test_30deg-s,30,23,1.4504087901908798,1.183782568842416,0.7552319479564652,1.0519323832092795,0.8765670216257224,0.35533311913321247
third_test_60deg-s,60,19,0.9890105576496044,0.833172724741989,0.6455103201432021,1.4147526684853313,1.045440922730533,0.3495192873333153
third_test_90deg-s,90,23,1.0133145727447128,0.7134283103273199,0.30185632573001625,1.6095307942868773,1.1223620947389668,0.005226252299446737
