run,sp,cam_on,imu_on,lag_on,cam_off,imu_off,lag_off,imu_plateau_mean,imu_plateau_sd,imu_n
first_test_120deg-s,120,7.03,13.325690269470215,6.295690269470215,30.72,35.597010135650635,4.877010135650636,119.0909090909091,1.5640591394622958,22
first_test_150deg-s,150,5.59,11.485368013381958,5.895368013381958,28.98,33.6878719329834,4.707871932983398,149.17391304347825,2.8076320506022503,23
first_test_180deg-s,180,5.82,12.830986022949219,7.0109860229492185,34.42,39.15951180458069,4.739511804580687,180.77777777777777,1.5713484026367723,27
first_test_210deg-s,210,6.75,13.287494897842407,6.537494897842407,32.7,37.5147819519043,4.814781951904294,211.79166666666666,1.4713702985841313,24
first_test_240deg-s,240,7.4,13.017889976501465,5.6178899765014645,32.86,38.334821701049805,5.474821701049805,241.03846153846155,1.7204822497188492,26
first_test_270deg-s,270,7.25,13.376849174499512,6.126849174499512,33.83,38.686119079589844,4.8561190795898455,262.96,42.10603757182573,25
first_test_300deg-s,300,7.390000000000001,12.911096811294556,5.521096811294555,30.61,36.19019889831543,5.58019889831543,293.7391304347826,39.61468479513335,23
first_test_30deg-s,30,7.2700000000000005,14.027972936630249,6.757972936630249,36.33,41.304418087005615,4.974418087005617,30.714285714285715,1.7291026338443147,28
first_test_60deg-s,60,6.43,12.206722021102905,5.776722021102906,33.01,38.617382287979126,5.607382287979128,59.333333333333336,1.2765694770084508,27
first_test_90deg-s,90,6.84,13.01137089729309,6.171370897293091,33.19,38.33661603927612,5.146616039276125,86.44,11.013010487600564,25
seconed_test_120deg-s,120,6.37,12.040414094924927,5.670414094924927,31.89,37.437079191207886,5.547079191207885,118.57692307692308,8.251680840070739,26
seconed_test_150deg-s,150,7.21,13.33837080001831,6.128370800018311,30.76,35.61530613899231,4.855306138992308,148.52380952380952,2.985983886969692,21
seconed_test_180deg-s,180,10.03,16.356494903564453,6.326494903564454,31.73,37.60986089706421,5.879860897064209,178.3181818181818,14.124081188576042,22
seconed_test_210deg-s,210,7.3100000000000005,13.056201934814453,5.746201934814453,29.830000000000002,34.388741970062256,4.558741970062254,207.95238095238096,16.811209951855083,21
seconed_test_240deg-s,240,6.72,12.73367714881897,6.01367714881897,36.03,41.14861798286438,5.118617982864379,240.75862068965517,2.1600634156366656,29
seconed_test_270deg-s,270,7.0200000000000005,12.755048036575317,5.735048036575317,37.09,42.06710696220398,4.977106962203976,267.3333333333333,22.62938109822911,30
seconed_test_300deg-s,300,7.96,13.752072095870972,5.792072095870972,34.52,40.04130816459656,5.5213081645965545,296.52,21.974749145325866,25
seconed_test_30deg-s,30,6.8500000000000005,12.937036991119385,6.087036991119384,37.63,43.317237854003906,5.687237854003904,29.387096774193548,1.7166625413742027,31
seconed_test_60deg-s,60,8.9,14.686095952987671,5.7860959529876705,31.28,36.993937969207764,5.7139379692077625,59.391304347826086,1.0103434816193262,23
seconed_test_90deg-s,90,10.120000000000001,16.430285215377808,6.310285215377807,35.32,39.69346213340759,4.3734621334075925,88.79166666666667,1.6577888553398135,24
third_test_120deg-s,120,7.09,13.204607248306274,6.114607248306275,35.64,40.472362995147705,4.8323629951477045,119.75,1.2712479807541204,28
third_test_150deg-s,150,6.8100000000000005,13.813001871109009,7.003001871109008,34.35,39.134663105010986,4.784663105010985,150.7391304347826,1.1875217638041449,23
third_test_180deg-s,180,7.03,14.453309059143066,7.423309059143066,31.54,36.72747206687927,5.187472066879273,178.3913043478261,12.200282001141302,23
third_test_210deg-s,210,6.03,11.599462985992432,5.569462985992431,34.0,38.80203700065613,4.802037000656128,209.88888888888889,7.818938704781858,27
third_test_240deg-s,240,7.8,13.968276023864746,6.168276023864746,33.26,38.21043610572815,4.950436105728151,240.8,2.078460969082653,25
third_test_270deg-s,270,8.120000000000001,14.719676971435547,6.599676971435546,35.46,40.973247051239014,5.513247051239013,271.5925925925926,1.7900808849769734,27
third_test_300deg-s,300,6.390000000000001,13.308840990066528,6.918840990066528,30.29,35.643765926361084,5.353765926361085,303.0869565217391,0.7753284565272612,23
third_test_30deg-s,30,5.74,11.407710790634155,5.667710790634155,33.44,38.70080089569092,5.26080089569092,28.321428571428573,3.1402180478041815,28
third_test_60deg-s,60,8.950000000000001,14.41956090927124,5.469560909271239,32.3,37.71577787399292,5.415777873992923,57.916666666666664,5.707572942055922,24
third_test_90deg-s,90,7.38,14.231224298477173,6.851224298477173,33.45,38.518272161483765,5.068272161483762,88.72,1.312097557348538,25
